,Facility Name,City,Country,IATA_Code,ICAO_Code,Lat,Lng,Alt(Feet),Hours__from UTC,TimeZone,Type
7989,Olds Didsbury Airport,Didsbury,Canada,\N,\N,51.710833,-114.10611100000001,3360,-7,America/Edmonton,airport
7990,Sundre Airport,Sundre,Canada,\N,\N,51.774722,-114.680833,3663,-7,America/Edmonton,airport
8005,Issyk-Kul International Airport,Tamchy,Kyrgyzstan,ИКУ,UCFL,42.3527,76.4278,5426,6,Asia/Bishkek,airport
8006,Crystal Airport,Crystal,United States,MIC,KMIC,45.06200027,-93.35389709,869,-6,America/Chicago,airport
8007,Clarke County Airport,Quitman,United States,23M,K23M,32.0848999,-88.73889923,320,-6,America/Chicago,airport
8009,W H 'Bud' Barron Airport,Dublin,United States,DBN,KDBN,32.56439972,-82.98529816,309,-5,America/New_York,airport
8033,Pukarua Airport,Pukarua,French Polynesia,PUK,NTGQ,-18.29560089,-137.0169983,5,-10,\N,airport
8034,Kabale Airport,Kabale,Uganda,\N,HUKB,-1.226111,29.96,6000,3,Africa/Kampala,airport
8040,Guatuso Airport,Marigot,France,\N,MRGT,10.6833334,-84.83333588,164,-6,America/Costa_Rica,airport
8043,Central Bolívar Airport,Sevilla,Spain,\N,SVSJ,8.916666985,-71.93333435,39,-4,America/Caracas,airport
8047,Corvallis Municipal Airport,Corvallis,United States,CVO,KCVO,44.49720001,-123.29000090000001,250,-8,America/Los_Angeles,airport
8051,Tuzla Romania Airport,Tuzla,Romania,\N,LRTZ,43.98419952,28.60969925,161,2,Europe/Bucharest,airport
8059,El Almendro Airport,Scranton,United States,\N,SCRT,-35.96055603,-71.79333496,486,-4,America/Santiago,airport
8070,San Agustin Airport,Morristown,United States,\N,MRST,10.0666666,-84.8833313,66,-6,America/Costa_Rica,airport
8080,Samambaia Heliport,Saint Denis,Reunion,\N,SDNS,-22.46249962,-43.1305542,3167,-3,America/Sao_Paulo,airport
8087,Fazenda Campo Verde Airport,Sihanoukville,Cambodia,\N,SNKV,1.042780042,-50.51670074,49,-3,America/Fortaleza,airport
8091,Prominent Hill Airport,Prominent Hill,Australia,PXH,YPMH,-29.715999999999998,135.5244,745,9.5,Australia/Adelaide,airport
8092,Cowra Airport,Chatsworth,United States,CWT,YCWR,-33.84469986,148.6490021,966,10,Australia/Sydney,airport
8094,Ganges Water Aerodrome,Ganges,Canada,\N,\N,48.85,-123.5,0,-8,America/Vancouver,airport
8095,Pender Harbour Water Aerodrome,Pender Harbour,Canada,YPT,\N,49.616667,-124.016667,0,-8,America/Vancouver,airport
8096,Mansons Landing Water Aerodrome,Mansons Landing,Canada,YMU,\N,50.066666999999995,-124.983333,0,-8,America/Vancouver,airport
8097,Port McNeill Airport,Port McNeill,Canada,YMP,\N,50.575556,-127.02861100000001,225,-8,America/Vancouver,airport
8098,Sullivan Bay Water Aerodrome,Sullivan Bay,Canada,YTG,\N,50.883333,-126.83333300000001,0,-8,America/Vancouver,airport
8099,Deer Harbor Seaplane,Deer Harbor,United States,DHB,\N,48.618396999999995,-123.00596000000002,0,-8,America/Los_Angeles,airport
8101,Coral Bay Airport,Coral Bay,Australia,\N,YCOY,-23.12999916,113.77700039999999,5,8,Australia/Perth,airport
8102,Ogden Hinckley Airport,Ogden,United States,OGD,KOGD,41.19589996,-112.012001,4473,-7,America/Denver,airport
8103,Lake Country Regional Airport,Clarksville,United Arab Emirates,W63,KW63,36.59579849,-78.56009674,421,-5,America/New_York,airport
8104,Robert S Kerr Airport,Poteau,United States,RKR,KRKR,35.02159882,-94.62129974,451,-6,America/Chicago,airport
8105,Colorado Plains Regional Airport,Akron,United States,AKO,KAKO,40.17559814,-103.22200009999999,4714,-7,America/Denver,airport
8106,Sanderson Field,Shelton,United States,SHN,KSHN,47.23360062,-123.14800259999998,273,-8,America/Los_Angeles,airport
8240,Dare County Regional Airport,Manteo,United States,\N,\N,35.922944,-75.697289,0,-5,America/New_York,airport
8298,Napakiak Airport,Napakiak,United States,WNA,PANA,60.69029999,-161.9790039,17,-9,America/Anchorage,airport
8299,Delta Junction Airport,Delta Junction,United States,DJN,\N,64.050556,-145.717222,1150,-9,America/Anchorage,airport
